Key,russian
scavengeHingesTip,"[73E9B2]Сбор петель[-]"
scavengeHingesTipDesc,"Изготовление [decea3]латунных петель[-] в [decea3]кузнечном горне[-] — не единственный способ их получить.\n\nВ начале игры [decea3]латунные петли[-] также довольно легко добывать, разрушая двери, поэтому двери служат доступным источником [decea3]латунных петель[-]. Используемый для этого инструмент или оружие ближнего боя значения не имеет."
scavengeWaterTip,"[73E9B2]Сбор воды[-]"
scavengeWaterTipDesc,"Добыть питьевую воду в пустоши может быть непросто. Один из основных способов — найти стойку с минеральной водой, бочку с водой, кран, унитаз и т. п. и взаимодействовать с источником, держа в руках [decea3]пустую банку[-] или [decea3]пустую пластиковую бутылку[-].\n\nКоличество наполненных банок или пластиковых бутылок зависит от оставшегося количества воды в источнике.\n\nТакже можно создать [decea3]примитивный колодец[-] или [decea3]водяную помпу[-], которые будут постепенно накапливать воду и обеспечивать постоянный источник.\n\n[decea3]Набирать воду из рек, озёр и бассейнов нельзя — она слишком токсична для использования.[-]"
scavengeFuelTip,"[73E9B2]Сбор бензина[-]"
scavengeFuelTipDesc,"Возможно, пройдет некоторое время, пока вы сможете производить собственный [decea3]бензин[-], поэтому альтернативным способом получения [decea3]бензина[-] является поиск различных [decea3]бензоколонок[-], [decea3]бочек с топливом или маслом[-]. Как только такой источник будет найден, вы сможете взаимодействовать с ним, держа в руках [decea3]пустую канистру или бочку[-], а также частично заполненную [decea3]канистру или бочку[-]\n\nКоличество заправленного [decea3]бензина[-] будет зависеть от количества в источнике.\n\nПозднее в процессе прохождения вы сможете построить [decea3]нефтедобывающие машины[-] и начать массовое производство [decea3]бензина[-]."
searchInventoryTip,"[73E9B2]Инвентарь / Поиск[-]"
searchInventoryTipDesc,"В интерфейсах рюкзака, хранилищ и хранилища транспорта есть кнопка [decea3]«Переключить поиск»[-]. Она включает поиск и позволяет отфильтровать предметы, которые вы хотите найти в инвентаре, хранилище или транспорте. Очистка текста поискового запроса или повторное нажатие кнопки [decea3]«Переключить поиск»[-] убирает все фильтры поиска."
vehicleEncumbranceTip,"[73E9B2]Транспорт / Перегруз[-]"
vehicleEncumbranceTipDesc,"Как и игрок, транспорт имеет ограничение по грузоподъёмности. Однако, в отличие от игрока, при превышении этого предела транспорт становится неработоспособным и не сможет двигаться.\n\nПри расчёте перегрузки транспорта учитывается вес всех пассажиров и содержимое встроенного хранилища.\n\nКогда водитель и все пассажиры находятся в транспорте, степень перегрузки отображается под спидометром на шкале грузоподъёмности. Если транспорт перегружен, рядом со спидометром загорится индикатор."
abandonedVehicleRepairTip,"[73E9B2]Транспорт / Ремонтопригодный[-]"
abandonedVehicleRepairTipDesc,"Иногда можно встретить транспорт, который можно отремонтировать. Для разных видов транспорта требуются разные виды ремонтных материалов или знаний как их ремонтировать:\n\nЧтобы отремонтировать [decea3]ремонтопригодный[-] транспорт, вы должны иметь [decea3]гаечный ключ[-], [decea3]трещотку[-] или [decea3]гайковерт[-] в руке, а также у вас должны быть соответствующие знания по обслуживанию транспортных средств, например, [decea3]знания по обслуживанию минибайков[-]. Знания по обслуживанию транспортных средств более высокого уровня потребуют от вас изучения предыдущих уровней, для их освоения. Чтобы начать ремонт, подойдите к [decea3]ремонтопригодному[-] транспорту и зажмите клавишу взаимодействия [decea3][action:local:Activate][action:permanent:Activate][-] и выберите опцию ремонта транспорта в радиальном меню."
scavengeTitaniumTip,"[73E9B2]Сбор титана[-]"
scavengeTitaniumTipDesc,"[decea3]Титан[-] является очень редким и востребованным ресурсом, используется для изготовления самых лучших предметов.\n\n[decea3]Пустоши[-] это единственное место, где можно найти естественные [decea3]титановые[-] залежи, поэтому единственный безопасный способ получить его - это [decea3]лут[-], покупка [decea3]торговцев[-] или [decea3]автобур[-], который имеет небольшой шанс добыть небольшое количество [decea3]титана[-] в каждом цикле."
pinRecipeTip,"[73E9B2]Инвентарь / Закрепление рецепта[-]"
pinRecipeTipDesc,"Чтобы отслеживать, какие ресурсы вам нужны для создания определенных предметов, у вас есть возможность закрепить рецепт с помощью действия Закрепить предмет на панели создания. Если щелкнуть эту опцию один раз, рецепт отобразится в виде булавки в правой части экрана, повторный щелчок по нему удалит булавку. Вы также можете удалить любой активный закреп, щелкнув значок «X» на карточке.\n\nПрикрепленный рецепт будет отслеживать предметы в вашем инвентаре и обновлять доступные количества ингредиентов в режиме реального времени, когда вы собираете или теряете необходимые ресурсы из вашего инвентаря. \n\nОдновременно может быть активен только один закрепленный рецепт."
lockInventorySlotsTip,"[73E9B2]Инвентарь / Блокировка ячейки[-]"
lockInventorySlotsTipDesc,"Можно заблокировать любой слот инвентаря, наведя на него курсор и нажимая клавишу [decea3][action:gui:GUILockSlot][-]. Заблокированные слоты игнорируются при сортировке предметов по весу, цене, типу или имени, а также при нажатии любой из кнопок передачи в хранилище.\n\nЧтобы разблокировать заблокированный слот, наведите на него курсор и нажмите клавишу [decea3][action:gui:GUILockSlot][-]. Можно настроить привязку клавиши по умолчанию к другой кнопке в:\n[decea3]Настройках-> Управление -> UI -> Заблокировать ячейку[-]"
researchSystemTip,"[73E9B2]Создание / Исследования[-]"
researchSystemTipDesc,"Система исследований позволяет открывать новые рецепты и создавать предметы более высокого качества.\n\nЧтобы исследовать новые рецепты, сначала создайте [decea3]исследовательскую станцию[-]. На ней можно тратить [decea3]данные исследований[-] вместе с другими требуемыми материалами, чтобы открывать новые рецепты.\n\nЧтобы создавать предметы более высокого качества, постройте [decea3]станцию техобслуживания[-]. На ней можно ремонтировать предметы и повышать их качество. Для улучшения предметов более высокого уровня и/или качества потребуется [decea3]станция техобслуживания[-] более высокого уровня.\n\n[decea3]Данные исследований[-] можно получить, разбирая схемы, записки заданий и карты сокровищ."
vehicleFeatureToggleTip,"[73E9B2]Транспорт / Дополнительные переключатели[-]"
vehicleFeatureToggleTipDesc,"Некоторые транспортные средства имеют дополнительные функции, которые переключаются клавишами [decea3][action:vehicle:ToggleTopLight][-] или [decea3][action:vehicle:ToggleSiren][-]. Например, верхние огни полицейской машины или такси включаются и выключаются клавишей [decea3][action:vehicle:ToggleTopLight][-], а полицейская сирена — клавишей [decea3][action:vehicle:ToggleSiren][-].\n\nНазначение этих клавиш можно изменить в:\n[decea3]Настройки -> Управление -> Транспорт -> Переключить верхние огни / Переключить сирену[-]."
recyclerTip,"[73E9B2]Создание / Переработка[-]"
recyclerTipDesc,"[decea3]Переработчик[-] это специальный станок, который требует питания для работы и где вы можете перерабатывать большинство предметов в их компоненты.\n\nКаждый предмет или блок, который может быть переработан, находясь в окне Переработчика, будет отмечен специальным маркером переработки.\n\nТакие предметы или блоки могут быть помещены во входной слот Переработчика, и когда питание будет подано и включено, он начнет перерабатывать предметы по одному сверху вниз слева направо и выдаст переработанные компоненты в выходной слот Переработчика."
maintenanceStationTip,"[73E9B2]Улучшение и обслуживание предметов[-]"
maintenanceStationTipDesc,"[decea3]Стол техобслуживания[-] специальное рабочее место котороее имеет несколько уровенй улучшения, позволяет вам ремонтировать любые предметы которые имеют показатель прочности (инструменты, оружие, двигатели, транспортные средства и т.д.) и улучшать любые предметы или моды, которые имеют рейтинг качества.\n\nДля предметов более высокого уровня или качества может потребоваться соответсвенно более высокий уровень [decea3]Стола техобслуживания[-]."
storageBroadcastingTip,"[73E9B2]Трансляция хранилища[-]"
storageBroadcastingTipDesc,"[decea3]Трансляция хранилища[-] — специальная механика, позволяющая использовать содержимое любого [decea3]размещённого игроком[-] контейнера при крафте. Система крафта сможет брать ресурсы прямо из контейнера.\n\nДальность трансляции составляет 10 метров и может быть увеличена специальными предметами, например модом [decea3]Радиовещание[-].\n\nВ многопользовательской игре контейнер не транслирует содержимое, пока другой игрок взаимодействует с ним.\n\nЧтобы включить трансляцию контейнера, удерживайте [decea3][action:local:Activate][action:permanent:Activate][-], глядя на него, и выберите [decea3]Трансляция хранилища[-]. Чтобы отключить её, снова удерживайте [decea3][action:local:Activate][action:permanent:Activate][-] и выберите [decea3]Прекратить трансляцию[-]."
workstationUpgradesTip,"[73E9B2]Модернизация верстаков[-]"
workstationUpgradesTipDesc,"Большинство верстаков в Undead Legacy могут иметь несколько уровней и могут быть улучшены.\n\nЧтобы улучшить верстак, удерживайте кнопку взаимодействия [decea3][action:local:Activate][action:permanent:Activate][-], глядя на верстак, и выберите [decea3]Улучшить[-] в радиальном меню. Откроется окно с указанием стоимости и требований для модернизации верстака.\n\nЕсли размеры следующего уровня верстака будут больше, обновленный верстак будет добавлена в ваш инвентарь."
journalNutrition,"Питание"
journalNutritionDesc,"Поддерживать здоровье в пустоши непросто, поэтому вот основные сведения для начала:\n\nНеобходимо следить за 4 основными питательными веществами: жирами, углеводами, белками и витаминами.\n\nПервые 3 определяют общий запас энергии (калории). Витамины определяют силу вашей иммунной системы.\n\nПока запас калорий выше 0, вы не умираете от голода. Даже при 0 витаминов вы не умрёте сразу, но станете более восприимчивы к болезням.\n\nЕсли все 4 показателя выше 75%, показатель здоровья будет постепенно расти. Если любой из 4 показателей опустится ниже 25%, показатель здоровья начнёт снижаться.\n\nПоказатель здоровья не может быть ниже 0. Каждая его единица даёт следующие бонусы:\n- +1 к максимальному здоровью\n- +1 к максимальной выносливости\n- +1 к максимальному переносимому весу\n- +1% к получаемому опыту\n\nЕсли запас калорий падает до 0, вы начинаете умирать от голода:\n- пассивное восстановление здоровья прекращается\n- теряется 2 здоровья каждую минуту\n- скорость восстановления выносливости снижается\n- восстановление выносливости уменьшает максимально доступную выносливость\n- немедленно найдите и съешьте еду."
journalTutorialQuest,"[73E9B2]Введение[-]"
journalTutorialQuestDesc,"Добро пожаловать в [decea3]Undead Legacy[-]!\n\nНа вашей панели быстрого доступа находится [decea3]тревожный рюкзак[-] с полезным стартовым снаряжением. Поставьте его на землю и взаимодействуйте с ним, чтобы открыть содержимое.\n\nЗадание [decea3]«Введение»[-] познакомит вас с основами сбора ресурсов и изготовления предметов в\n[decea3]Undead Legacy[-].\n\n[decea3]Важно![-]\nПроверьте [decea3]журнал[-]: записи, начинающиеся с [decea3]UL[-], объясняют некоторые более сложные механики [decea3]Undead Legacy[-]."
journalTutorialQuestSkipped,"[73E9B2]Введение[-]"
journalTutorialQuestSkippedDesc,"Добро пожаловать в [decea3]Undead Legacy[-]!\n\nНа вашей панели быстрого доступа находится [decea3]тревожный рюкзак[-] с полезным стартовым снаряжением. Поставьте его на землю и взаимодействуйте с ним, чтобы открыть содержимое.\n\n[decea3]Важно![-]\nПроверьте [decea3]журнал[-]: записи, начинающиеся с [decea3]UL[-], объясняют некоторые более сложные механики [decea3]Undead Legacy[-]."
cementMixerTip,"[73E9B2]Бетономешалка[-]"
cementMixerTipDesc,"[decea3]Бетономешалка[-] используется для изготовления [decea3]бетонной смеси[-], а также [decea3]асфальтовых[-], [decea3]гравийных[-] или [decea3]каменных[-] блоков."
flyingHelicoptersTip,"[73E9B2]Управление вертолетом[-]"
flyingHelicoptersTipDesc,"Вертолёты управляются иначе, чем самолёты и гирокоптеры, поэтому ниже перечислены основные элементы управления, которые необходимо освоить для полёта на вертолёте.\n\nЧтобы набрать высоту, нажмите [decea3][action:vehicle:Forward][-], чтобы снизиться — [decea3][action:vehicle:Back][-].\nЧтобы повернуть налево, нажмите [decea3][action:vehicle:Left][-], чтобы повернуть направо — [decea3][action:vehicle:Right][-].\n\nЧтобы лететь вперёд, наклоните вертолёт вниз, нажав и удерживая [decea3][action:vehicle:Crouch][-].\nЧтобы лететь назад, наклоните вертолёт вверх, нажав [decea3][action:vehicle:Jump][-].\n\nЕсли у вертолёта есть дополнительные огни, их можно переключать клавишей [decea3][action:vehicle:ToggleTopLight][-]. Если установлен прожектор, его можно включать и выключать с помощью [decea3][action:local:ToggleFlashlight][action:permanent:ToggleFlashlight][-]. Звуковой сигнал включается клавишей [decea3][action:vehicle:HonkHorn][-]."
alternateAmmoTip,"[73E9B2]Альтернативные патроны[-]"
alternateAmmoTipDesc,"Некоторые виды оружия или инструментов имеют более одного типа боеприпасов. Экипируйте оружие и удерживайте клавишу перезарядки [decea3][action:local:Reload][action:permanent:Reload][-], чтобы увидеть и использовать возможные типы боеприпасов для активного оружия или инструмента.\n\n[decea3]Внимание![-] при смене типа топлива на бензоинструментах: топливо в баке будет вылито (уничтожено), если нет подходящего пустого или частично заполненного контейнера для топлива куда его можно слить."
survivalTip,"Выживание"
survivalTipDesc,"Ваше текущее здоровье отображается красным, а максимальное — серым. Потерянное здоровье или снижение максимального запаса здоровья отображается чёрным.\n\nЕшьте пищу или используйте лекарства, чтобы восстановить здоровье. Лечите травмы, например ссадины, чтобы восстановить максимальный запас здоровья.\n\nТекущая выносливость отображается синим, а максимальная — серым. Голод снижает максимальный запас выносливости, и эта потеря отображается чёрным.\n\nСкорость восстановления здоровья и выносливости зависит от уровня жажды.\nПолосы еды и воды находятся под поясом / панелью быстрого доступа, а значения можно посмотреть на странице персонажа во вкладках основных и расширенных характеристик. Видимые эффекты предупредят вас, если нехватка еды или воды начнёт влиять на персонажа."
infectionTip,"Инфекция"
infectionTipDesc,"Инфекция — постоянная угроза во время зомби-апокалипсиса.\nСамый частый источник заражения — сражения с зомби, поэтому настоятельно рекомендуется носить броню.\n\nИнфекция снижает выносливость, а на поздних стадиях — также ваши атрибуты. Без лечения она смертельна в течение 7 игровых дней.\n\nИспользование подходящего лекарства (мёд, растительные антибиотики, антибиотики) сразу ослабит отрицательные эффекты. Лекарство уменьшает процент инфекции на величину, указанную на предмете.\n\nЗначок инфекции на основном экране изменяется и показывает, лечится инфекция (становится лучше) или нет."
foodPoisoningTip,"Пищевое отравление"
foodPoisoningTipDesc,"Еда и питьё необходимы для выживания, но теперь далеко не вся пища и вода безопасны.\n\nУ еды и напитков отображается значение в %, показывающее шанс получить дизентерию.\nУровни навыка «Железный желудок» снижают этот шанс.\n\nДизентерия вызывает диарею и обезвоживание. Это замедляет восстановление выносливости и здоровья.\nЧай из золотарника и чистая минеральная вода излечивают дизентерию.\nЕсли вы умираете от голода, можно съесть испорченную пищу, но она нанесёт урон здоровью."
rangedWeaponStatsTip,"Оружие дальнего боя и боеприпасы"
rangedWeaponStatsTipDesc,"Урон дальнего боя: урон, наносимый противнику. Учитывает установленные модификации и заряженные боеприпасы, но не бонусы навыков.\nУрон / дробина, дробины: обычные патроны для дробовика выпускают несколько дробин, каждая из которых может самостоятельно попасть в цель. Урон указан для одной дробины.\nУрон взрыва / радиус: урон противникам в центре взрыва; радиус указан в метрах.\nУрон по блокам: большинство видов оружия дальнего боя наносят блокам очень мало урона по сравнению с инструментами для добычи. Некоторые виды взрывчатки наносят блокам очень большой урон.\nБроня цели: боеприпасы, снижающие броню цели на 20%, уменьшают показатель брони 50 до 40.\nПробивание: 1 единица пробивания позволяет пробить 1 противника или блок прочностью до 250 и поразить 2-ю цель за ним.\n\nСкорость снаряда: продвинутые луки / арбалеты и типы боеприпасов имеют более высокую скорость снаряда, поэтому траектория становится более настильной.\nРазмер магазина: очевидно.\nВыстрелов / минуту: скорострельность этого оружия.\nЭффективная дальность: после этой дистанции снаряд начинает терять силу, пока на максимальной дальности его урон не станет равен 0. Максимальная дальность всегда значительно больше эффективной."
stealthTip,"Скрытность"
stealthTipDesc,"Бонус скрытой атаки применяется к атакам в положении присев.\nОн работает только если противник спит или ещё не встревожен.\nЧтобы снова получить бонус скрытой атаки по той же цели, должно пройти до 60 секунд в PVP и 10 секунд для зомби. Эти интервалы можно уменьшить навыками."
firstAidTip,"Первая помощь"
firstAidTipDesc,"Чтобы вылечить себя или остановить кровотечение, возьмите в руки бинт, медицинский бинт, швейный набор или аптечку и используйте основное действие. Чтобы лечить других, используйте те же предметы вторичным действием.\n\nКрем алоэ, бинты и аптечки лечат ссадины — одну из самых частых травм в бою. Аптечки и швейные наборы лечат глубокие рваные раны. Лечение этих травм восстанавливает максимальный запас здоровья, потерянная часть которого показана чёрным на полосе здоровья."
waterTip,"Вода"
waterTipDesc,"Вода определяет скорость восстановления здоровья и выносливости. С пустыми руками вы можете пить из любого источника воды, нажав "E". Употребление некипячёной воды может вызвать дизентерию. На костре воду в банках можно вскипятить с помощью кастрюли. Текущий уровень воды отображается в характеристиках персонажа.\nПродвинутый способ добычи воды — изготовить сборщик росы.\nКогда уровень воды падает ниже 50% и 25%, это влияет на скорость восстановления.\nВсе напитки дают небольшой бонус к восстановлению выносливости, пока действует эффект «напиток»."
meleeWeaponStatsTip,"Оружие ближнего боя"
meleeWeaponStatsTipDesc,"Урон в ближнем бою: урон, который основная атака наносит противнику с учётом установленных модификаций, но без бонусов навыков.\nУрон силовой атаки: урон вторичной атаки. Некоторые типы оружия и навыки добавляют силовым атакам особые способности или эффекты.\nУрон по блокам: столько урона основная атака наносит блоку или объекту в игровом мире. Некоторые инструменты неэффективны против определённых материалов, например клинковое оружие против камня.\n\nРасход выносливости: инструменты и оружие ближнего боя расходуют выносливость при каждом взмахе. Силовые атаки расходуют намного больше выносливости.\n\nОбъём топлива: моторизированные инструменты используют топливо вместо выносливости, но обычно создают много шума.\n\nАтак / минуту: скорость взмахов или, для моторизированных инструментов, скорость атаки.\n\nМакс. прочность: количество атак, которое можно выполнить до необходимости ремонта предмета."
armorStatsTip,"Броня"
armorStatsTipDesc,"Класс лёгкой, средней или тяжёлой брони показывает, какой навык влияет на этот предмет. Показатель брони — это процент снижения урона. Максимум — 90 AR, что снижает входящий урон на 90%.\n\nСопротивление критическим травмам: повышает сопротивление оглушению, кровотечению и другим подобным эффектам.\n\nВыносливость /с: ношение этой брони дополнительно расходует выносливость при ходьбе или беге. Навыки брони могут уменьшить этот штраф.\nПодвижность: ношение этой брони снижает скорость передвижения на указанную величину. Навыки брони могут уменьшить этот штраф.\nУвеличение шума: тяжёлая броня обычно шумнее и затрудняет скрытное передвижение.\n\nМакс. прочность: количество урона, которое может поглотить эта часть брони. Броня с высоким AR поглощает больше урона и поэтому быстрее теряет прочность.\n\nСопротивление холоду / жаре: обычно встречается на одежде, а не на броне. Чем выше, тем лучше. Можно добавить к броне с помощью модификаций."
criticalHitsTip,"Критические травмы"
criticalHitsTipDesc,"Вы начинаете со 100% сопротивлением всем критическим негативным эффектам. Удары противников могут снижать соответствующие сопротивления. Когда значение падает ниже 100%, вы можете получить критическую травму, например инфекцию или глубокую рваную рану.\n\nБроня снижает вероятность потери сопротивления критическим травмам. Суммарные показатели брони можно увидеть на 2-й вкладке «Характеристики» в левом верхнем углу окна персонажа.\n\nКритические травмы, кроме инфекции, со временем проходят сами или могут быть вылечены специальными предметами."
gunAssemblyTip,"Сборка предметов"
gunAssemblyTipDesc,"Чтобы собрать оружие или моторизированный инструмент либо улучшить его более качественными деталями, нужно иметь все детали в инвентаре и прочитать соответствующий чертёж. Выберите деталь в инвентаре и нажмите действие «Собрать». Эти рецепты не отображаются в меню изготовления."
tableSawTip,"Циркулярная пила"
tableSawTipDesc,"Используйте циркулярную пилу, чтобы открыть и изготавливать множество декоративных предметов для настройки и украшения базы."
airDropTip,"Грузы снабжения"
airDropTipDesc,"Грузы снабжения могут сбрасываться примерно в середине дня. Прислушивайтесь к самолёту и следуйте за оранжевым дымом, чтобы найти сброшенный ящик. Если включена отметка грузов снабжения, такие ящики также отображаются на карте."
augmentGunsTip,"Модификации предметов"
augmentGunsTipDesc,"Предметы с уровнем качества, например огнестрельное оружие, оружие ближнего боя и броня, можно улучшать установкой модификаций.\nКаждая модификация, занимающая не декоративный слот, увеличивает урон оружия.\n\nВыберите действие «Модифицировать» в окне осмотра предмета, затем перетащите модификацию в свободный слот или поместите её туда через Shift+клик.\nУ совместимых с выбранным предметом модификаций значок шестерёнки подсвечивается зелёным.\n\nМодификации можно в любое время снять и установить в другие предметы."
batteryBankTip,"Аккумуляторная батарея"
batteryBankTipDesc,"Блок аккумуляторов позволяет питать электрические компоненты.\nДля работы требуется как минимум один аккумулятор, всего можно установить до шести. Максимальная выходная мощность зависит от количества установленных аккумуляторов и их качества.\nЕсли включённый блок аккумуляторов получает внешнее питание, он заряжает установленные аккумуляторы.\nЕсли аккумуляторы не установлены, блок работает как реле и передаёт питание дальше по цепи.\nДля подключения и обрезки проводов между электрическими компонентами требуется инструмент для проводки."
bedrollTip,"Спальный мешок"
bedrollTipDesc,"После установки спального мешка на компасе и карте появится значок кровати. Он поможет вернуться домой и служит точкой возрождения после смерти.\nОдновременно активен только один спальный мешок — последний установленный. Установка новой кровати или поднятие последнего установленного спального места окончательно удалит все предыдущие точки возрождения.\n\nУстановленный и активный спальный мешок предотвращает появление противников в области вокруг него. Размер области отображается при установке спального мешка."
cameraTip,"Камера"
cameraTipDesc,"Если у вас есть наводимый электрический компонент, например автоматическая турель, датчик движения или прожектор, можно задать направление его наведения по умолчанию. Откройте компонент, нажмите в области предпросмотра камеры, удерживайте основное действие и наведите устройство в нужную точку.\nПосле этого нажмите Escape и выйдите из компонента."
campfireTip,"Костры"
campfireTipDesc,"Костры используются для обогрева, приготовления пищи, очистки воды и простой химии.\nЧтобы пользоваться костром, поместите дерево или другие горючие предметы в слоты топлива и держите все ингредиенты рецепта в инвентаре.\nДобавьте в слот посуды кастрюлю, решётку для гриля или лабораторный стакан, чтобы открыть дополнительные рецепты.\nУдерживайте E, чтобы подобрать рабочую станцию внутри области вашего блока притязания."
chemistryStationTip,"Химическая станция"
chemistryStationTipDesc,"Химическая станция позволяет создавать дополнительные химикаты, жидкости и соединения.\nНекоторые рецепты также доступны на костре, но на химической станции требуется меньше ресурсов.\nДля изготовления все ингредиенты должны находиться в инвентаре.\nУдерживайте E, чтобы подобрать рабочую станцию внутри области вашего блока притязания."
coldWeatherTip,"Холодная погода"
coldWeatherTipDesc,"Если вам холодно, согреться помогут одежда, помещение, зажжённый костёр или горн, а также факел в руках.\n\nПредметы с более высоким сопротивлением холоду лучше защищают от холодной погоды. Значение сопротивления холоду можно увидеть при осмотре предмета."
encumbranceTip,"Перегрузка"
encumbranceTipDesc,"Если нести слишком много предметов в рюкзаке (инвентаре), возникает перегрузка, снижающая скорость передвижения. Предметы на панели быстрого доступа и надетая одежда не учитываются.\nВ инвентаре показаны открытые и заблокированные слоты — они обозначают, сколько предметов можно переносить без перегрузки. Раскладывать предметы по конкретным слотам не требуется: имеет значение только общее количество предметов в рюкзаке.\n\nНавык «Вьючный мул», а также некоторые модификации и препараты открывают дополнительные слоты инвентаря и позволяют переносить больше вещей без перегрузки."
farmingTip,"Фермерство"
farmingTipDesc,"Используйте кулаки или любой инструмент, чтобы собирать урожай.\nСоздавайте фермерские участки и сажайте на них семена вторичным действием.\nВозможность изготовления семян открывается после чтения журналов навыков изготовления.\nНекоторые навыки и предметы увеличивают количество собираемого урожая."
generatorBankTip,"Схема генератора"
generatorBankTipDesc,"Генераторный блок позволяет питать электрические компоненты.\nДля работы требуется как минимум один двигатель, всего можно установить до шести. Максимальная выходная мощность зависит от количества установленных двигателей.\nГенератор использует бензин, который можно найти в добыче или изготовить на химической станции.\nДля подключения и обрезки проводов между электрическими компонентами требуется инструмент для проводки."
